candidate,auuc_mean,auuc_std,qini_mean,qini_std,uplift_at_k_5_mean,uplift_at_k_5_std,uplift_at_k_10_mean,uplift_at_k_10_std,uplift_at_k_20_mean,uplift_at_k_20_std,n_val_mean,n_treated_val_mean,n_control_val_mean
S+ElasticNet,0.012312418700377772,0.01925576240886615,-0.018159452044672286,0.4994894406709935,0.02638945618308878,0.06199549910005353,0.02155600180123967,0.05701900900775544,0.009614623526671218,0.03436231670894482,2000.0,796.8,1203.2
S+LGBM,0.01694995477223906,0.010446893934760353,0.18907611265312538,0.11558338936479667,0.011035865905431107,0.09517506808666143,-0.0010104748882933557,0.05109904930471838,0.01893064067282734,0.017823856999301533,2000.0,796.8,1203.2
S+Lasso,0.012312418700377772,0.01925576240886615,-0.018159452044672286,0.4994894406709935,0.02638945618308878,0.06199549910005353,0.02155600180123967,0.05701900900775544,0.009614623526671218,0.03436231670894482,2000.0,796.8,1203.2
S+Ridge,0.01665815919115977,0.01573353112869029,0.08081847327134757,0.4813790869923598,0.06134001243956473,0.06046361765531598,0.01786401138099747,0.04292533012613622,0.020252901612534263,0.028898343033277558,2000.0,796.8,1203.2
S+XGB,0.021514117962462914,0.012476892966332863,0.13122476298297517,0.08902727317464115,0.03104627145657905,0.056949577139492794,0.05059277349781251,0.027545516983333417,0.030881327523031903,0.03028388190600255,2000.0,796.8,1203.2
T+ElasticNet,0.012312418700377772,0.01925576240886615,-0.018159452044672286,0.4994894406709935,0.02638945618308878,0.06199549910005353,0.02155600180123967,0.05701900900775544,0.009614623526671218,0.03436231670894482,2000.0,796.8,1203.2
T+LGBM,0.019623278332129596,0.01805348130280834,0.18278871283207224,0.41212627730421736,0.023797159554887364,0.020753419793561552,-0.006525744252538967,0.044876101554381494,0.03257835911340721,0.04167564886210305,2000.0,796.8,1203.2
T+Lasso,0.012312418700377772,0.01925576240886615,-0.018159452044672286,0.4994894406709935,0.02638945618308878,0.06199549910005353,0.02155600180123967,0.05701900900775544,0.009614623526671218,0.03436231670894482,2000.0,796.8,1203.2
T+Ridge,0.033452667406001724,0.015917743544547055,0.3239321222943934,0.2729174156089212,0.07546913250845456,0.05543912775833522,0.06189622084216047,0.05240614053346104,0.055489444764390904,0.030142752338742303,2000.0,796.8,1203.2
T+XGB,0.00799143868367989,0.007935712645828409,-0.05419524481851273,0.2273759033818318,-0.015045763415328631,0.07756459747198707,0.005918027616467985,0.055827828301884194,-0.007408731630952558,0.029673498468970848,2000.0,796.8,1203.2
